added	removed	path
15	1	ebpf/common/structs.h
7	0	ebpf/kernel/maps.h
50	0	ebpf/kernel/services.h
30	0	prodigy/brain/base.h
509	16	prodigy/brain/brain.h
2	1	prodigy/brain/machine.h
105	4	prodigy/container.contract.h
180	2	prodigy/containerstore.h
9	0	prodigy/dev/CMakeLists.txt
2	2	prodigy/dev/tests/prodigy_brain_config_ssh_replication_unit.cpp
2	2	prodigy/dev/tests/prodigy_brain_ipv6_topology_unit.cpp
2	2	prodigy/dev/tests/prodigy_brain_master_uuid_unit.cpp
2	2	prodigy/dev/tests/prodigy_brain_overlay_hosted_ingress_unit.cpp
736	8	prodigy/dev/tests/prodigy_brain_replication_credentials_unit.cpp
5	1	prodigy/dev/tests/prodigy_brain_topic_fuzz.cpp
3	1	prodigy/dev/tests/prodigy_bundle_artifact_unit.cpp
157	0	prodigy/dev/tests/prodigy_container_overlay_sync_unit.cpp
75	4	prodigy/dev/tests/prodigy_deployments_unit.cpp
170	1	prodigy/dev/tests/prodigy_mothership_cluster_registry_unit.cpp
4	1	prodigy/dev/tests/prodigy_mothership_topic_fuzz.cpp
663	2	prodigy/dev/tests/prodigy_mothership_unix_connect_unit.cpp
113	2	prodigy/dev/tests/prodigy_persistent_state_unit.cpp
91	4	prodigy/dev/tests/prodigy_switchboard_whitehole_unit.cpp
17	11	prodigy/discombobulator/src/build.rs
11	10	prodigy/discombobulator/src/build_portable.rs
1	0	prodigy/discombobulator/src/cli.rs
11	9	prodigy/discombobulator/src/plan.rs
2	0	prodigy/discombobulator/src/registry.rs
90	11	prodigy/discombobulator/tests/build_smoke.rs
10	1	prodigy/discombobulator/tests/parser.rs
14	0	prodigy/docs/runtime.md
16	0	prodigy/docs/security.md
48	0	prodigy/ingress.validation.h
5	0	prodigy/mothership/mothership.cluster.create.h
95	4	prodigy/mothership/mothership.cluster.registry.h
655	0	prodigy/mothership/mothership.cluster.types.h
863	6	prodigy/mothership/mothership.cpp
654	0	prodigy/mothership/mothership.tunnel.gateway.h
278	0	prodigy/mothership/mothership.tunnel.provider.cpp
1	0	prodigy/neuron/base.h
611	123	prodigy/neuron/containers.h
38	19	prodigy/neuron/neuron.h
265	0	prodigy/persistent.state.h
355	2	prodigy/prodigy.cpp
57	0	prodigy/types.h
5	0	switchboard/common/structs.h
51	0	switchboard/kernel/container.egress.router.ebpf.c
115	75	switchboard/kernel/egress.routing.h
134	88	switchboard/kernel/host.ingress.router.ebpf.c
47	0	switchboard/kernel/l4.ports.h
7	0	switchboard/kernel/whitehole.maps.h
49	19	switchboard/whitehole.route.h
